Algorithm,Mean_SCBI,Std_SCBI,Min_SCBI,Max_SCBI,Median_SCBI,Mean_Score_Quality,Mean_Coverage,Mean_Diversity,Mean_Efficiency,Mean_Balance,Num_Videos
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter2,0.20019032311718546,0.2543302929825435,0.0,0.999996957541268,0.06132885188127654,0.26371397956770426,0.13666666666666666,0.19800015885748135,0.598020257650718,0.06350753280941675,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter2,0.19975840982822304,0.25486467730270596,0.0,0.999996957541268,0.05642682707985083,0.2695168196564461,0.13,0.2342983927043143,0.6176163541269751,0.06760214707756729,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter3,0.1997402986045344,0.2578810648282628,0.0,0.999996957541268,0.057487551857518124,0.2694805972090688,0.13,0.19757171243313143,0.614532987519455,0.06765753909419821,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter3,0.19940548552936743,0.25406760931097755,0.0,0.999996957541268,0.06593383933153171,0.2654776377254016,0.13333333333333333,0.19830414309599845,0.5980600970383835,0.06378105096462146,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter3,0.19917246444233414,0.2502901935001081,0.0,0.999996957541268,0.061565617614646295,0.2716782622180016,0.12666666666666668,0.21377875820920275,0.6142920760804771,0.05988787697027222,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter2,0.19915240146761315,0.24777883559680405,0.0,0.9956774713923502,0.06544396642513606,0.27163813626855965,0.12666666666666668,0.2174771713469551,0.6142962781273996,0.0580097135235365,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter1,0.19883600835899004,0.25019820979634577,0.0,0.999996957541268,0.057487551857518124,0.26100535005131337,0.13666666666666666,0.19651566360792355,0.5877267446041243,0.05908275709329826,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_3.0_long_5.0_temporal_iter2,0.19834172229864072,0.2607061098298513,0.0,0.9923093089125641,0.05042628725977796,0.24668344459728142,0.15,0.21977619425450878,0.5752391744290125,0.07488140448115424,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter3,0.19817740022942262,0.2626122711696198,0.0,0.999329754371934,0.04163344190791428,0.24302146712551193,0.15333333333333332,0.21711105813241915,0.588534161661651,0.07656897989871479,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter3,0.1980563569169282,0.254546515175723,0.0,0.9999970171483001,0.0692133141967017,0.2661127138338563,0.13,0.21043332638049908,0.6219034451772746,0.06745512226449656,300
